id,is_pass
1626_45,0.40411626443118875
11020_130,0.9843469782210473
12652_146,0.5260065146685727
7038_72,0.0981096617851217
888_71,0.4666815115840013
18922_62,0.7077306386704345
5499_29,0.958703075745442
10150_125,0.8672462834829469
10158_95,0.8822556827053779
6215_17,0.9096487569086558
6719_121,0.9629495404755863
14498_175,0.8656106012951433
15169_153,0.96752566711783
11094_23,0.3139423341439796
17853_11,0.8844548262854428
15437_157,0.8958514654406781
7156_53,0.6441548184080323
1406_69,0.8019128245493761
6127_32,0.6188479133669242
19983_89,0.8965121980059649
14606_87,0.8434376736302488
15316_112,0.8426220117462039
2729_157,0.8994569898245335
15099_94,0.3330622868483037
1226_135,0.6615193020076303
5097_64,0.3475080523701836
7456_19,0.9443985846587631
5846_70,0.7986804504658942
12159_44,0.6364880921594469
17292_94,0.6066297665349956
7038_74,0.6561430550130177
10956_131,0.9679333944341117
8828_136,0.8698769358388819
10477_27,0.9622241980368736
18548_82,0.9379083836743767
4093_82,0.5302021574225823
299_160,0.8901929439212477
6165_117,0.9230289367863787
1139_80,0.3680547926410388
6498_93,0.6303044733626757
18332_127,0.8944877637731589
4167_88,0.9538079230823925
5207_80,0.6341095006445189
9653_39,0.9344291717012811
9730_31,0.912759799118356
14676_158,0.76844564374759
13104_57,0.6815897073052418
4695_32,0.42344409477313694
8544_81,0.9536413792936542
3175_103,0.8542359106368895
5294_167,0.8276615871560657
16934_97,0.40303670689462673
16711_154,0.9508825909731182
11574_83,0.16396815400089787
8183_84,0.5094427608738361
1986_164,0.9361742789200347
10067_21,0.7830245992489333
3588_154,0.9521932009289644
10785_65,0.5962857162352235
1858_144,0.7895904118408011
10801_174,0.8378403430502341
1645_149,0.876484785927639
8584_128,0.8610322832471831
16381_47,0.8040285368724026
10042_28,0.9552873482493089
9725_125,0.8537980159001727
3906_95,0.7627434184472794
13921_40,0.6140812185496817
20096_103,0.5010786706577534
10021_101,0.5445834029763614
1035_19,0.7084319306199893
105_128,0.8308445030940106
7720_87,0.36496161478712275
12174_50,0.5869980647514177
12560_89,0.5450300829673438
11847_86,0.4051055919065255
10240_22,0.8294958490150719
7852_82,0.6668810843314175
3462_104,0.7488108380136949
3592_103,0.8299122756365428
18365_120,0.9227695726574463
10326_23,0.38038799258986844
10334_135,0.8612663273526155
2893_118,0.9843765167222941
20072_67,0.34858691702529465
3308_9,0.3070994070255023
14550_170,0.7123356829003971
1926_132,0.7528889500349737
6580_14,0.27957060227763664
2504_126,0.21895394323832598
16734_43,0.6590188660087246
5279_121,0.6660857830099652
11361_180,0.20813552131748617
9156_143,0.9202506230728569
8157_135,0.7722155778505392
4985_159,0.7740046959255289
7191_79,0.8427963968626886
13297_140,0.23678253848432934
10763_94,0.6383468466678902
15041_44,0.7158041212148318
12038_82,0.8620581354243082
8503_133,0.8948830011378683
18334_11,0.46734850766797653
7731_77,0.2232296309867256
8658_141,0.886815261069852
7531_73,0.3579504425273408
412_143,0.9638605608406398
15721_109,0.7712664462657554
10921_25,0.801155221288802
3366_73,0.3414717809574318
13524_88,0.6707122831961154
19818_73,0.18950576668554664
1800_90,0.6507455618585436
15120_182,0.9272540574385383
14355_94,0.8909068495056449
19593_83,0.9063390985352717
6051_74,0.6606006375042355
1300_44,0.5143138505286802
7326_79,0.5510099308563086
18295_152,0.9247540914306042
1322_73,0.24006583474020665
15009_159,0.5299803300086263
19400_114,0.7610474329710231
10190_141,0.347373128282461
9530_166,0.832483215461019
9155_136,0.8853340518384106
3281_114,0.5529370343075138
6962_16,0.9637759591281517
14439_88,0.6803625922894169
11766_36,0.6283434170299118
2567_14,0.867698462188585
13337_51,0.7965042278407156
3155_14,0.7485525317239139
8431_43,0.4991415021118065
16864_100,0.4605878538353266
15816_95,0.816426086925533
7850_49,0.5720829152920575
9331_132,0.7068291032448367
18321_69,0.4804994446662166
2661_3,0.2298076945034948
10790_128,0.6677085894052912
15310_43,0.5200795045453901
805_135,0.912826089539682
9609_169,0.8536449592761259
13486_144,0.5717451842352937
12394_32,0.7979909680226424
16943_179,0.45552142618108693
11233_83,0.7137508119852223
8225_50,0.20897215550125708
18931_22,0.33855397074032767
5027_73,0.5333440575567645
2845_76,0.3808975658819832
18309_43,0.6606500710976145
